# Server version 0.08 running on 192.168.1.103:8123
# Game ID: 121
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Apr 05 23:29:38 EDT 2014
# Player 1: Player-0, '111111111', running on localhost
# Player 2: Player-1, '111111111', running on localhost
# Player 3: Player-2, 'random', running on 192.168.1.103
# Player 4: Player-3, 'random', running on 192.168.1.103
START Player-0 111111111
0 (2,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (13,0) (11,0)
1 (11,0) (13,0)
1 (13,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (1,15) (0,14)
3 (12,15) (12,14)
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 (5,4) (5,6)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 (11,5) (9,5)
1 (9,5) (9,7)
1 (9,7) (7,9)
1 null null
2 (1,14) (2,13)
3 (14,13) (15,13)
0 (1,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (13,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 (11,5) (9,5)
1 (9,5) (9,7)
1 (9,7) (7,5)
1 (7,5) (5,7)
1 null null
2 (0,15) (1,15)
3 (13,12) (13,11)
0 (4,4) (6,4)
0 (6,4) (4,6)
0 (4,6) (6,8)
0 (6,8) (8,10)
0 null null
1 (8,6) (10,6)
1 (10,6) (8,6)
1 (8,6) (6,8)
1 null null
2 (0,14) (1,13)
3 (12,13) (11,12)
0 (7,6) (9,8)
0 null null
1 (7,7) (9,9)
1 (9,9) (7,7)
1 (7,7) (5,9)
1 null null
2 (1,13) (0,14)
3 (12,12) (11,13)
0 (5,5) (7,7)
0 (7,7) (9,9)
0 null null
1 (6,8) (4,6)
1 (4,6) (6,8)
1 (6,8) (4,10)
1 (4,10) (2,12)
1 (2,12) (2,14)
1 null null
2 (3,13) (4,12)
3 (15,12) (13,10)
3 (13,10) (15,12)
3 (15,12) (15,10)
3 null null
0 (8,8) (10,10)
0 null null
1 (15,0) (14,1)
2 (0,12) (2,12)
2 (2,12) (0,12)
2 (0,12) (0,10)
2 (0,10) (0,12)
2 (0,12) (2,12)
2 (2,12) (4,10)
2 null null
3 (13,15) (14,14)
0 (8,7) (10,9)
0 (10,9) (10,11)
0 (10,11) (12,13)
0 (12,13) (14,13)
0 null null
1 (10,5) (8,7)
1 (8,7) (6,9)
1 (6,9) (4,9)
1 (4,9) (4,11)
1 null null
2 (1,15) (1,14)
3 (15,14) (15,12)
3 null null
0 (9,9) (11,11)
0 null null
1 (12,3) (10,5)
1 (10,5) (8,7)
1 (8,7) (6,9)
1 null null
2 (4,10) (6,8)
2 (6,8) (6,10)
2 (6,10) (4,8)
2 (4,8) (6,10)
2 null null
3 (15,15) (13,15)
3 (13,15) (15,15)
3 null null
0 (5,6) (7,6)
0 (7,6) (5,6)
0 (5,6) (5,8)
0 (5,8) (7,10)
0 (7,10) (9,10)
0 (9,10) (11,10)
0 null null
1 (7,9) (9,11)
1 (9,11) (7,9)
1 (7,9) (5,11)
1 (5,11) (3,13)
1 (3,13) (1,15)
1 null null
2 (3,14) (3,15)
3 (15,12) (14,12)
0 (10,10) (12,12)
0 null null
1 (7,8) (5,10)
1 (5,10) (3,12)
1 null null
2 (3,15) (1,13)
2 null null
3 (15,10) (15,9)
0 (0,0) (1,1)
1 (5,9) (7,11)
1 (7,11) (5,9)
1 (5,9) (7,9)
1 (7,9) (5,11)
1 (5,11) (3,13)
1 null null
2 (3,11) (4,10)
3 (13,13) (13,12)
0 (11,11) (13,13)
0 null null
1 (11,4) (10,5)
2 (1,12) (3,14)
2 (3,14) (5,12)
2 null null
3 (14,11) (13,10)
0 (11,10) (12,11)
1 (10,5) (8,7)
1 null null
2 (6,10) (7,9)
3 (12,14) (11,14)
0 (6,6) (7,7)
1 (9,6) (7,8)
1 (7,8) (5,10)
1 null null
2 (0,11) (1,10)
3 (15,15) (15,14)
0 (7,7) (9,7)
0 (9,7) (9,9)
0 null null
1 (14,3) (13,4)
2 (2,15) (3,15)
3 (13,10) (14,9)
0 (13,13) (15,15)
0 null null
1 (14,1) (14,3)
1 (14,3) (12,5)
1 null null
2 (4,10) (5,11)
3 (15,13) (15,12)
0 (8,10) (10,8)
0 (10,8) (8,8)
0 (8,8) (10,10)
0 null null
1 (5,7) (4,8)
2 (4,12) (5,13)
3 (14,14) (13,13)
0 (12,12) (14,14)
0 null null
1 (4,8) (3,9)
2 (4,13) (4,12)
3 (11,13) (12,12)
0 (9,9) (11,11)
0 null null
1 (3,9) (2,10)
2 (5,12) (6,11)
3 (14,15) (13,14)
0 (12,11) (14,11)
0 (14,11) (12,13)
0 (12,13) (14,15)
0 null null
1 (2,10) (1,11)
2 (7,9) (7,8)
3 (11,14) (10,13)
0 (5,4) (6,5)
1 (12,0) (11,1)
2 (6,11) (7,10)
3 (12,12) (14,10)
3 null null
0 (10,10) (12,12)
0 null null
1 (11,1) (10,2)
2 (7,10) (5,8)
2 null null
3 (10,13) (12,11)
3 (12,11) (10,13)
3 null null
0 (0,3) (1,4)
1 (10,2) (9,3)
2 (1,13) (0,12)
3 (10,13) (9,13)
0 (9,8) (10,9)
1 (12,5) (11,6)
2 (4,12) (3,11)
3 (9,13) (8,13)
0 (1,4) (2,5)
1 (11,6) (10,7)
2 (3,11) (4,12)
3 (13,12) (14,11)
0 (10,9) (11,10)
1 (10,7) (9,8)
2 (0,13) (2,15)
2 (2,15) (0,15)
2 (0,15) (2,15)
2 (2,15) (0,15)
2 null null
3 (8,13) (7,13)
0 (11,10) (12,11)
1 (4,11) (6,11)
1 (6,11) (4,11)
1 (4,11) (4,13)
1 (4,13) (2,11)
1 (2,11) (0,11)
1 (0,11) (0,13)
1 (0,13) (2,15)
1 null null
2 (7,8) (7,9)
3 (15,11) (15,13)
3 null null
0 (6,5) (7,6)
1 (6,9) (8,9)
1 (8,9) (6,9)
1 (6,9) (4,11)
1 (4,11) (4,13)
1 (4,13) (2,11)
1 (2,11) (0,11)
1 (0,11) (0,13)
1 null null
2 (4,15) (3,14)
3 (7,13) (7,14)
0 (2,1) (3,2)
1 (5,10) (4,11)
2 (1,10) (2,11)
3 (15,13) (15,11)
3 null null
0 (3,2) (4,3)
1 (9,8) (8,9)
2 (5,8) (6,8)
3 (14,10) (15,10)
0 (7,6) (9,8)
0 (9,8) (7,10)
0 (7,10) (7,8)
0 (7,8) (9,10)
0 null null
1 (8,9) (10,11)
1 (10,11) (8,9)
1 (8,9) (6,9)
1 null null
2 (2,13) (1,12)
3 (15,12) (13,10)
3 (13,10) (13,12)
3 null null
0 (9,10) (10,11)
1 (4,11) (6,11)
1 (6,11) (4,11)
1 (4,11) (2,13)
1 null null
2 (1,12) (0,11)
3 (14,12) (12,14)
3 (12,14) (14,12)
3 (14,12) (14,10)
3 null null
0 (10,11) (12,13)
0 null null
1 (6,9) (5,10)
2 (7,9) (7,8)
3 (11,12) (10,11)
0 (1,1) (2,2)
1 (8,7) (6,9)
1 (6,9) (4,11)
1 null null
2 (6,8) (6,7)
3 (7,14) (6,15)
0 (2,2) (4,4)
0 null null
1 (5,10) (5,12)
1 (5,12) (3,10)
1 (3,10) (1,12)
1 null null
2 (7,8) (7,7)
3 (13,14) (15,12)
3 (15,12) (13,10)
3 (13,10) (15,12)
3 (15,12) (13,10)
3 (13,10) (11,12)
3 (11,12) (9,10)
3 (9,10) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,12)
3 (9,12) (11,10)
3 (11,10) (11,12)
3 (11,12) (9,10)
3 (9,10) (11,12)
3 (11,12) (13,14)
3 (13,14) (15,12)
3 (15,12) (13,10)
3 (13,10) (15,8)
3 null null
0 (3,3) (5,5)
0 null null
1 (13,4) (12,5)
2 (6,7) (6,6)
3 (15,8) (13,10)
3 (13,10) (15,12)
3 null null
0 (4,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 null null
1 (12,5) (11,6)
2 (5,13) (6,14)
3 (10,11) (10,10)
0 (12,13) (13,14)
1 (11,6) (10,7)
2 (0,14) (1,13)
3 (15,12) (14,12)
0 (8,7) (9,8)
1 (14,2) (13,3)
2 (7,7) (8,8)
3 (14,11) (15,12)
0 (5,5) (7,7)
0 (7,7) (9,9)
0 null null
1 (10,7) (8,9)
1 (8,9) (8,7)
1 null null
2 (4,12) (4,13)
3 (6,15) (7,15)
0 (9,8) (7,6)
0 (7,6) (9,8)
0 (9,8) (9,10)
0 (9,10) (11,10)
0 (11,10) (11,12)
0 null null
1 (8,7) (7,8)
2 (6,6) (5,5)
3 (13,11) (15,13)
3 (15,13) (13,15)
3 null null
0 (4,4) (6,6)
0 null null
1 (7,8) (6,9)
2 (2,11) (2,10)
3 (15,9) (14,8)
0 (11,11) (13,11)
0 (13,11) (15,13)
0 null null
1 (6,9) (5,10)
2 (4,13) (2,11)
2 (2,11) (2,9)
2 null null
3 (15,12) (14,11)
0 (9,9) (11,11)
0 null null
1 (13,3) (12,4)
2 (8,8) (8,7)
3 (14,9) (15,9)
0 (6,6) (7,7)
1 (12,4) (11,5)
2 (3,14) (4,13)
3 (10,10) (10,9)
0 (7,7) (8,8)
1 (5,10) (5,12)
1 (5,12) (3,14)
1 null null
2 (2,9) (1,9)
3 (7,15) (8,15)
0 (8,8) (9,9)
1 (11,5) (10,6)
2 (3,15) (4,15)
3 (14,8) (15,8)
0 (9,9) (10,10)
1 (10,6) (9,7)
2 (6,14) (6,13)
3 (14,10) (13,11)
0 (2,5) (3,6)
1 (9,7) (8,8)
2 (5,11) (5,12)
3 (15,8) (14,7)
0 (3,6) (4,7)
1 (8,8) (7,9)
2 (5,12) (6,11)
3 (10,9) (9,9)
0 (11,12) (12,13)
1 (7,9) (6,10)
2 (4,13) (4,12)
3 (14,7) (14,8)
0 (3,1) (4,2)
1 (6,10) (5,11)
2 (1,9) (1,8)
3 (14,12) (15,12)
0 (4,2) (5,3)
1 (9,3) (8,4)
2 (8,7) (9,7)
3 (13,12) (11,14)
3 (11,14) (13,12)
3 (13,12) (13,10)
3 null null
0 (5,3) (6,4)
1 (8,4) (7,5)
2 (4,12) (5,12)
3 (13,15) (12,15)
0 (6,4) (8,6)
0 (8,6) (10,8)
0 (10,8) (8,10)
0 null null
1 (7,5) (6,6)
2 (5,5) (6,4)
3 (12,15) (13,15)
0 (12,11) (13,12)
1 (6,6) (5,7)
2 (1,8) (1,7)
3 (14,8) (15,8)
0 (8,10) (9,11)
1 (5,11) (4,12)
2 (1,13) (0,14)
3 (9,9) (10,9)
0 (9,11) (10,12)
1 (5,7) (4,8)
2 (1,7) (0,7)
3 (15,9) (14,10)
0 (10,12) (11,13)
1 (4,8) (3,9)
2 (4,15) (4,14)
3 (15,8) (15,9)
0 (11,13) (12,14)
1 (4,12) (4,13)
2 (2,10) (3,10)
3 (15,9) (14,9)
0 (4,7) (5,8)
1 (3,9) (3,11)
1 (3,11) (5,11)
1 (5,11) (5,13)
1 (5,13) (3,15)
1 (3,15) (1,13)
1 null null
2 (0,11) (1,10)
3 (13,11) (13,9)
3 (13,9) (15,9)
3 (15,9) (13,11)
3 (13,11) (11,13)
3 (11,13) (13,11)
3 null null
0 (5,8) (6,9)
1 (3,12) (2,12)
2 (9,7) (10,6)
3 (13,11) (15,9)
3 null null
0 (6,9) (7,10)
1 (4,11) (3,12)
2 (6,11) (6,10)
3 (8,15) (7,15)
0 (7,10) (8,11)
1 (1,11) (0,11)
2 (5,12) (4,11)
3 (15,9) (13,9)
3 (13,9) (13,11)
3 (13,11) (11,13)
3 null null
0 (8,11) (9,12)
1 (3,14) (3,15)
2 (4,14) (3,14)
3 (7,15) (6,15)
0 (9,12) (10,13)
1 (4,13) (4,14)
2 (10,6) (9,5)
3 (13,13) (11,15)
3 null null
0 (11,11) (13,13)
0 null null
1 (4,14) (4,15)
2 (6,4) (7,5)
3 (15,10) (13,8)
3 null null
0 (10,10) (11,11)
1 (3,12) (5,10)
1 (5,10) (3,12)
1 null null
2 (4,11) (4,10)
3 (14,11) (13,11)
0 (10,13) (11,14)
1 (3,12) (4,13)
2 (7,5) (6,4)
3 (11,15) (10,14)
0 (11,14) (12,15)
1 (4,13) (4,14)
2 (9,5) (10,6)
3 (14,9) (13,9)
0 (13,12) (14,12)
1 (2,12) (1,11)
2 (1,10) (0,9)
3 (6,15) (6,14)
0 (11,11) (12,11)
1 (3,13) (2,12)
2 (6,10) (5,11)
3 (11,13) (11,14)
0 (12,11) (13,12)
1 (2,12) (3,13)
2 (6,13) (6,12)
3 (11,14) (11,15)
0 (13,12) (14,11)
1 (3,13) (2,12)
2 (0,7) (0,8)
3 (15,11) (15,10)
0 (14,11) (15,11)
1 (2,12) (3,13)
2 (4,10) (4,9)
3 (14,10) (15,9)
0 (12,12) (13,12)
1 (3,13) (2,12)
2 (6,4) (6,3)
3 (13,15) (11,13)
3 (11,13) (13,15)
3 (13,15) (11,13)
3 null null
0 (12,14) (13,15)
1 (2,12) (3,13)
2 (0,8) (0,7)
3 (13,11) (12,12)
0 (12,13) (12,14)
1 (3,13) (2,12)
2 (10,6) (11,6)
3 (10,14) (10,15)
0 (13,12) (14,11)
1 (2,12) (3,13)
2 (3,10) (2,11)
3 (13,10) (14,9)
0 (14,11) (13,12)
1 (3,13) (2,12)
2 (0,9) (1,9)
3 (11,13) (12,13)
0 (13,12) (14,11)
1 (2,12) (3,13)
2 (5,11) (6,11)
3 (10,9) (11,9)
0 (14,11) (13,12)
1 (3,13) (2,12)
2 (11,6) (12,7)
3 (10,15) (11,14)
0 (13,12) (14,11)
1 (2,12) (3,13)
2 (4,9) (5,10)
3 (14,9) (14,8)
0 (14,11) (13,12)
1 (3,13) (2,12)
2 (6,12) (5,11)
3 (6,14) (7,15)
0 (13,12) (14,11)
1 (2,12) (3,13)
2 (6,3) (7,4)
3 (13,9) (12,10)
0 (14,11) (13,12)
1 (3,13) (2,12)
2 (5,11) (5,12)
3 (11,14) (10,14)
0 (13,12) (14,11)
1 (2,12) (3,13)
2 (0,7) (0,8)
3 (11,15) (10,15)
0 (14,11) (13,12)
1 (3,13) (2,12)
2 (5,10) (4,11)
3 (12,10) (13,10)
0 (13,12) (14,11)
1 (2,12) (3,13)
2 (5,12) (6,13)
GAMEOVER 
WINNER Player-0
# Game ended: Sat Apr 05 23:29:40 EDT 2014
